Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_2_Replicate_12	-4189.06	8386.12	133676.75	833.97	0.7168,2.326,0.1069,0.0567
1	Round_3_Replicate_1	-3814.32	7636.64	87955.87	1189.54	0.0616,2.9138,0.0133,0.0071
1	Round_2_Replicate_11	-7870.23	15748.46	16579.49	875.51	0.7028,1.5674,0.1271,0.5453
1	Round_2_Replicate_15	-18220.74	36449.48	862891.17	2624.56	0.1101,0.1281,0.2353,0.4095
1	Round_2_Replicate_2	-6398.87	12805.74	2916249988810.38	830.98	1.6655,2.3917,0.0709,0.0745
1	Round_1_Replicate_15	-19565.61	39139.22	6599338.71	624.97	0.1716,2.7278,0.7652,0.317
1	Round_2_Replicate_13	-11313.39	22634.78	92049.53	846.4	1.1063,0.6647,0.434,0.4269
1	Round_2_Replicate_12	-10273.16	20554.32	99751.0	381.99	4.8095,1.3856,0.97,0.0159
1	Round_3_Replicate_2	-3905.01	7818.02	76306.14	1321.94	0.0332,0.4664,0.0066,0.0121
1	Round_3_Replicate_1	-4236.11	8480.22	18512814.97	1105.92	0.1363,6.0974,0.0195,0.0412
1	Round_2_Replicate_3	-5103.32	10214.64	9669.77	849.64	1.076,1.0166,0.1945,0.0475
1	Round_2_Replicate_13	-20519.97	41047.94	12482444.93	135.83	1.0067,17.7027,3.7427,0.2536
1	Round_2_Replicate_14	-7316.37	14640.74	14929.9	910.15	0.4762,1.9532,0.0973,0.5148
1	Round_2_Replicate_1	-10237.59	20483.18	31612.78	952.78	10.065,0.1564,0.0729,0.0798
1	Round_3_Replicate_3	-3700.82	7409.64	17663.61	1307.24	0.1153,0.5389,0.0219,0.0019
1	Round_3_Replicate_2	-6310.91	12629.82	32569.4	1203.61	0.0827,1.0645,0.0754,0.0142
1	Round_2_Replicate_14	-7823.18	15654.36	276957.23	752.88	2.9247,1.0865,0.1399,0.3983
